Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,Percent Change between 2010 and 2011,Rank,"Number of occurrences per 10,000 residents in 2011",
83,Dufferin Grove,,0,0,0,0,0,0,0,0,N/A,99,0,
84,Little Portugal,,0,0,0,0,0,1,0,0,N/A,100,0,
85,South Parkdale,,1,3,3,0,1,1,1,1,N/A,25,0.5,
86,Roncesvalles,,1,0,0,0,1,0,0,0,N/A,101,0,
87,High Park-Swansea,,0,0,1,0,0,0,2,0,-100.00%,102,0,
88,High Park North,,1,0,0,0,0,0,0,0,N/A,103,0,
89,Runnymede-Bloor West Village,,0,0,0,0,0,0,0,0,N/A,104,0,
90,Junction Area,,1,0,1,1,1,1,1,0,N/A,105,0,
91,Weston-Pellam Park,,0,2,0,0,0,1,0,0,N/A,106,0,
92,Corsa Italia-Davenport,,1,0,0,0,0,0,0,0,N/A,107,0,
93,Dovercourt-Wallace Emerson-Juncti,,4,3,0,0,1,0,1,1,0.00%,37,0.3,
94,Wychwood,,0,0,0,1,0,1,0,0,N/A,108,0,
95,Annex,,0,0,0,0,0,2,1,1,0.00%,34,0.3,
96,Casa Loma,,0,0,0,0,0,0,1,0,N/A,109,0,
97,Yonge-St.Clair,,0,0,0,0,1,0,1,0,N/A,110,0,
98,Rosedale-Moore Park,,1,0,0,0,0,0,0,0,N/A,111,0,
99,Mount Pleasant East,,1,0,0,1,0,0,0,0,N/A,112,0,
100,Yonge-Eglinton,,0,0,0,0,0,0,0,0,N/A,113,0,
101,Forest Hill South,,0,0,0,0,0,0,0,0,N/A,114,0,
102,Forest Hill North,,0,1,0,0,0,0,0,0,N/A,115,0,
103,Lawrence Park South,,0,0,0,0,0,0,0,0,N/A,116,0,
104,Mount Pleasant West,,0,0,0,0,0,0,0,0,N/A,117,0,
105,Lawrence Park North,,0,0,0,0,0,0,0,0,N/A,118,0,
106,Humewood-Cedarvale,,0,0,1,0,0,0,0,0,N/A,119,0,
107,Oakwood-Vaughan,,0,0,0,2,0,1,1,0,-100.00%,120,0,
108,Briar Hill-Belgravia,,1,1,1,0,0,0,0,1,N/A,16,0.7,
109,Caledonia-Fairbanks,,0,0,0,1,0,0,0,0,N/A,121,0,
110,Keelesdale-Eglinton West,,0,1,0,0,1,2,0,0,N/A,122,0,
111,Rockcliffe-Smythe,,0,1,0,2,1,3,2,0,-100.00%,123,0,
112,Beechborough-Greenbrook,,0,0,0,0,2,1,1,1,0.00%,2,1.5,
113,Weston,,1,0,1,1,0,2,2,1,-50.00%,23,0.6,
114,Lambton Baby Point,,0,0,0,0,0,2,0,2,N/A,1,2.5,
115,Mount Dennis,,0,0,3,0,0,1,0,1,N/A,14,0.8,
116,Steeles,,0,0,1,0,0,0,0,0,N/A,124,0,
117,L'Amoreaux,,0,3,5,0,0,0,1,1,0.00%,40,0.2,
118,Tam O'Shanter-Sullivan,,0,0,0,1,2,1,0,0,N/A,125,0,
119,Wexford/Maryvale,,0,0,1,1,1,0,3,0,-100.00%,126,0,
120,Clairlea-Birchmount,,1,0,0,2,1,0,0,2,N/A,11,0.8,
121,Oakridge,,1,1,0,1,0,0,0,0,N/A,127,0,
122,Birchcliffe-Cliffside,,0,1,1,0,0,0,0,0,N/A,128,0,
123,Cliffcrest,,1,0,0,1,0,3,0,0,N/A,129,0,
124,Kennedy Park,,1,0,0,1,0,3,0,0,N/A,130,0,
125,Ionview,,0,0,0,1,1,0,0,1,N/A,13,0.8,
126,Dorset Park,,0,3,0,1,0,3,1,0,-100.00%,131,0,
