Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,"Number of occurrences per 10,000 residents in 2011",Rank,Percent Change between 2010 and 2011,
98,Rosedale-Moore Park,,52,40,31,37,35,25,27,20,9.7,99,-25.90%,
99,Mount Pleasant East,,27,34,30,21,21,28,21,7,4.4,136,-66.70%,
100,Yonge-Eglinton,,21,16,22,15,34,17,14,14,13.2,68,0,
101,Forest Hill South,,22,14,12,19,12,12,6,3,2.7,140,-50.00%,
102,Forest Hill North,,25,27,20,38,26,20,21,6,4.8,130,-71.40%,
103,Lawrence Park South,,27,37,42,50,30,30,24,26,17.3,38,8.30%,
104,Mount Pleasant West,,63,43,48,28,38,24,26,18,6.3,126,-30.80%,
105,Lawrence Park North,,41,36,30,37,30,33,27,27,18.6,30,0,
106,Humewood-Cedarvale,,30,25,21,32,24,6,14,10,7.1,121,-28.60%,
107,Oakwood-Vaughan,,39,31,37,37,29,28,18,16,7.6,118,-11.10%,
108,Briar Hill-Belgravia,,62,37,41,38,44,23,23,29,20.4,21,26.10%,
109,Caledonia-Fairbanks,,30,23,38,42,26,17,18,8,8.1,114,-55.60%,
110,Keelesdale-Eglinton West,,41,48,65,74,56,25,34,21,19.7,25,-38.20%,
111,Rockcliffe-Smythe,,70,55,77,76,75,48,48,39,17.5,36,-18.80%,
112,Beechborough-Greenbrook,,26,17,50,63,33,21,22,6,9.2,100,-72.70%,
113,Weston,,91,87,64,86,60,66,62,32,17.6,35,-48.40%,
114,Lambton Baby Point,,18,20,13,13,8,6,10,8,10.1,95,-20.00%,
115,Mount Dennis,,34,39,53,45,35,27,26,14,10.7,90,-46.20%,
116,Steeles,,82,67,54,34,11,11,27,30,12,78,11.10%,
117,L'Amoreaux,,142,111,101,64,53,47,31,21,4.7,133,-32.30%,
118,Tam O'Shanter-Sullivan,,146,98,66,71,51,44,30,12,4.4,135,-60.00%,
119,Wexford/Maryvale,,160,116,146,140,109,89,71,41,15.2,51,-42.30%,
120,Clairlea-Birchmount,,115,136,162,131,127,79,87,66,26.7,12,-24.10%,
121,Oakridge,,64,56,71,59,52,29,14,14,10.4,92,0,
122,Birchcliffe-Cliffside,,60,48,61,60,54,39,31,20,9.2,101,-35.50%,
123,Cliffcrest,,41,50,51,48,52,38,18,7,4.5,134,-61.10%,
124,Kennedy Park,,87,60,60,90,86,47,30,23,13.5,63,-23.30%,
125,Ionview,,43,35,33,32,38,15,34,11,8.4,108,-67.60%,
126,Dorset Park,,174,170,121,124,89,68,63,30,12.3,76,-52.40%,
127,Bendale,,217,179,156,177,126,92,75,70,25.1,14,-6.70%,
128,Agincourt South-Malvern West,,103,96,94,110,59,47,25,36,16.4,43,44.00%,
129,Agincourt North,,89,86,81,81,58,52,34,33,10.9,87,-2.90%,
130,Milliken,,113,101,83,73,46,55,44,67,24.7,15,52.30%,
131,Rouge,,137,178,148,141,121,92,91,91,19.8,24,0,
132,Malvern,,169,204,184,135,12,120,81,51,11.3,84,-37.00%,
133,Centennial Scarborough,,28,17,16,15,12,15,7,13,9.9,98,85.70%,
134,Highland Creek,,39,42,32,26,27,20,14,17,13,73,21.40%,
135,Morningside,,57,65,49,44,39,25,16,19,10.8,88,18.80%,
136,West Hill,,124,184,101,89,87,59,64,46,17.3,37,-28.10%,
137,Woburn,,195,233,204,156,173,110,113,45,8.4,107,-60.20%,
138,Eglinton East,,109,121,83,86,112,78,38,23,10.1,96,-39.50%,
139,Scarborough Village,,95,75,66,53,62,50,24,27,16.3,45,12.50%,
140,Guildwood,,19,20,4,12,14,6,8,5,5.1,129,-37.50%,
