Number,Name,Average,2004,2005,2006,2007,2008,2009,2010,2011,"Number of occurrences per 10,000 residents in 2011",Rank,Percent Change between 2010 and 2011,
79,University,,63,55,54,59,95,62,73,54,69.7,3,-26.00%,
80,Palmerston-Little Italy,,9,23,33,49,26,22,17,25,18.2,58,47.10%,
81,Trinity-Bellwoods,,60,57,95,79,79,81,63,62,36.9,18,-1.60%,
82,Niagara,,22,30,46,34,85,71,52,64,30.5,31,23.10%,
83,Dufferin Grove,,64,91,74,77,43,37,27,41,35.8,23,51.90%,
84,Little Portugal,,42,27,32,46,35,44,26,37,30.5,30,42.30%,
85,South Parkdale,,81,85,96,145,149,128,98,140,65.9,4,42.90%,
86,Roncesvalles,,82,105,112,72,108,90,73,74,49.2,8,1.40%,
87,High Park-Swansea,,16,10,11,20,14,15,19,19,8.7,100,0,
88,High Park North,,27,20,10,10,12,16,20,29,13.6,76,45.00%,
89,Runnymede-Bloor West Village,,11,17,5,8,13,3,5,8,8.3,105,60.00%,
90,Junction Area,,35,45,62,37,50,19,12,40,28.6,32,233.30%,
91,Weston-Pellam Park,,38,31,53,34,20,62,34,58,48.3,11,70.60%,
92,Corsa Italia-Davenport,,42,39,39,17,30,14,20,21,15.3,70,5.00%,
93,Dovercourt-Wallace Emerson-Juncti,,195,183,227,181,153,112,115,127,36.6,19,10.40%,
94,Wychwood,,32,22,25,24,21,20,12,15,10.7,87,25.00%,
95,Annex,,33,39,21,33,67,60,32,33,11.3,85,3.10%,
96,Casa Loma,,7,2,5,3,6,6,5,3,2.9,130,-40.00%,
97,Yonge-St.Clair,,0,1,2,2,2,1,0,0,0,139,.%,
98,Rosedale-Moore Park,,10,12,7,20,13,12,6,9,4.4,124,50.00%,
99,Mount Pleasant East,,7,4,3,4,2,7,8,9,5.6,119,-21.20%,
100,Yonge-Eglinton,,15,23,13,13,26,9,13,43,40.7,15,230.80%,
101,Forest Hill South,,6,1,3,6,12,4,4,0,0,140,-100.00%,
102,Forest Hill North,,3,18,4,3,1,7,0,4,3.2,126,N/A,
103,Lawrence Park South,,3,3,4,4,4,3,2,8,5.3,120,300.00%,
104,Mount Pleasant West,,13,11,23,22,7,17,17,24,8.4,103,41.20%,
105,Lawrence Park North,,4,4,5,3,1,2,4,2,1.4,138,-50.00%,
106,Humewood-Cedarvale,,20,26,31,22,35,21,11,18,12.8,79,63.60%,
107,Oakwood-Vaughan,,35,23,38,65,67,59,33,37,17.5,62,12.10%,
108,Briar Hill-Belgravia,,36,46,32,35,25,47,24,33,23.2,37,37.50%,
109,Caledonia-Fairbanks,,22,13,30,9,20,16,12,16,16.2,64,33.30%,
110,Keelesdale-Eglinton West,,48,43,30,63,26,41,42,24,22.5,38,-42.90%,
111,Rockcliffe-Smythe,,31,26,48,33,48,40,34,50,22.4,39,47.10%,
112,Beechborough-Greenbrook,,34,36,41,32,36,46,17,38,58.6,5,123.50%,
113,Weston,,60,40,54,44,58,84,54,89,49,10,64.80%,
114,Lambton Baby Point,,4,0,1,10,12,8,9,8,10.1,89,-11.10%,
115,Mount Dennis,,44,53,49,35,22,34,66,48,36.5,20,-27.30%,
116,Steeles,,17,11,8,19,11,8,12,5,2,134,-58.30%,
117,L'Amoreaux,,28,21,42,30,20,25,27,35,7.8,110,29.60%,
118,Tam O'Shanter-Sullivan,,43,19,18,25,22,17,27,27,9.9,91,0,
119,Wexford/Maryvale,,29,39,75,42,61,55,44,60,22.2,42,36.40%,
120,Clairlea-Birchmount,,23,26,40,28,58,33,31,38,15.4,69,22.60%,
121,Oakridge,,23,40,22,32,61,40,21,55,40.7,14,161.90%,
122,Birchcliffe-Cliffside,,15,22,22,25,44,35,27,26,11.9,83,-3.70%,
123,Cliffcrest,,23,12,32,63,27,24,28,30,19.1,52,7.10%,
124,Kennedy Park,,41,49,43,58,57,22,40,48,28.1,33,20.00%,
125,Ionview,,21,37,19,11,20,10,12,17,13,78,41.70%,
126,Dorset Park,,25,26,25,18,40,28,29,39,16,65,34.50%,
127,Bendale,,23,28,25,50,45,41,27,51,18.3,57,88.90%,
128,Agincourt South-Malvern West,,49,35,18,29,33,40,27,20,9.1,95,-25.90%,
129,Agincourt North,,29,30,18,29,33,40,27,20,6.6,114,-25.90%,
130,Milliken,,51,28,6,25,21,27,25,5,1.8,135,-80.00%,
131,Rouge,,22,22,25,33,36,23,25,33,7.2,113,32.00%,
132,Malvern,,67,24,40,42,62,43,61,81,18,60,32.80%,
133,Centennial Scarborough,,14,11,16,9,8,3,6,2,1.5,137,-66.70%,
134,Highland Creek,,14,5,13,9,14,4,7,11,8.4,102,57.10%,
135,Morningside,,18,16,27,9,27,14,24,24,13.7,75,.%,
136,West Hill,,84,51,94,133,108,76,89,87,32.8,27,-2.20%,
137,Woburn,,69,37,48,66,55,62,91,77,14.4,72,-15.40%,
138,Eglinton East,,50,41,42,44,64,49,39,48,21,48,23.10%,
139,Scarborough Village,,34,19,46,34,48,17,35,31,18.7,53,-11.40%,
140,Guildwood,,12,3,12,6,9,5,3,9,9.2,94,200.00%,
